Iteration,Epsilon,Delta,Dynamic_Noise_Multiplier,Mean_Performance,Seed
142,50.0,0.1,32.920329570770264,0.7445368769806973,43
143,50.0,0.01,32.920329570770264,0.714711478440411,43
144,50.0,0.001,32.920329570770264,0.569074114088159,43
145,50.0,0.0001,32.920329570770264,0.58238830068184,43
146,30.0,0.1,32.920329570770264,0.6825263492749447,43
147,30.0,0.01,32.920329570770264,0.7105757226543743,43
148,30.0,0.001,32.920329570770264,0.6424712498799577,43
149,30.0,0.0001,32.920329570770264,0.597230024968789,43
151,20.0,0.01,32.920329570770264,0.6546726447709593,43
152,20.0,0.001,32.920329570770264,0.632490936809757,43
153,20.0,0.0001,32.920329570770264,0.5759516349755114,43
154,10.0,0.1,32.920329570770264,0.5934907087294727,43
155,10.0,0.01,32.920329570770264,0.6387673461058292,43
156,10.0,0.001,32.920329570770264,0.7057410208393355,43
157,10.0,0.0001,32.920329570770264,0.6363280874867954,43
158,5.0,0.1,32.920329570770264,0.6467672620762508,43
159,5.0,0.01,32.920329570770264,0.7443766205704407,43
160,5.0,0.001,32.920329570770264,0.6441626452511284,43
161,5.0,0.0001,32.920329570770264,0.6330917482953999,43
162,1.0,0.1,32.920329570770264,0.6886118913857677,43
163,1.0,0.01,32.920329570770264,0.6844185153173916,43
164,1.0,0.001,32.920329570770264,0.6397330860462883,43
165,1.0,0.0001,32.920329570770264,0.6176762220301546,43
166,0.1,0.1,32.920329570770264,0.6713528161912993,43
167,0.1,0.01,32.920329570770264,0.6430231441467397,43
168,0.1,0.001,32.920329570770264,0.6517304091040046,43
169,0.1,0.0001,32.920329570770264,0.674335566119274,43
170,50.0,0.1,32.920329570770264,0.6060621338711226,43
171,50.0,0.1,32.920329570770264,0.5967708633438971,43
172,50.0,0.1,32.920329570770264,0.6725058220493614,43
173,50.0,0.1,32.920329570770264,0.6696122034956304,43
174,50.0,0.01,32.920329570770264,0.6529323321809276,43
175,50.0,0.01,32.920329570770264,0.6447550537789302,43
176,50.0,0.01,32.920329570770264,0.6485162777297608,43
177,50.0,0.01,32.920329570770264,0.5140254369538078,43
178,50.0,0.001,32.920329570770264,0.7082967204455969,43
179,50.0,0.001,32.920329570770264,0.7117506362239507,43
180,50.0,0.001,32.920329570770264,0.7012808508595025,43
181,50.0,0.001,32.920329570770264,0.6126725607413809,43
182,50.0,0.0001,32.920329570770264,0.708941647459906,43
183,50.0,0.0001,32.920329570770264,0.6331004513588783,43
184,50.0,0.0001,32.920329570770264,0.6446215067703832,43
185,50.0,0.0001,32.920329570770264,0.6345826731009315,43
186,30.0,0.1,32.920329570770264,0.5767349106885623,43
187,30.0,0.1,32.920329570770264,0.5927074330164218,43
188,30.0,0.1,32.920329570770264,0.734209041582637,43
189,30.0,0.1,32.920329570770264,0.6855580164217805,43
190,30.0,0.01,32.920329570770264,0.7732716916354556,43
191,30.0,0.01,32.920329570770264,0.6960142970325555,43
192,30.0,0.01,32.920329570770264,0.6630777033515798,43
193,30.0,0.01,32.920329570770264,0.6987608638240661,43
194,30.0,0.001,32.920329570770264,0.7226573753961394,43
195,30.0,0.001,32.920329570770264,0.6874942979928935,43
196,30.0,0.001,32.920329570770264,0.6511292975127245,43
197,30.0,0.001,32.920329570770264,0.7230000960338039,43
198,30.0,0.0001,32.920329570770264,0.5063328291558629,43
199,30.0,0.0001,32.920329570770264,0.6026691395371171,43
200,30.0,0.0001,32.920329570770264,0.703831748775569,43
201,30.0,0.0001,32.920329570770264,0.62470049457409,43
202,20.0,0.1,32.920329570770264,0.7130909079996158,43
203,20.0,0.1,32.920329570770264,0.7209389705176222,43
204,20.0,0.1,32.920329570770264,0.7248655526745414,43
205,20.0,0.1,32.920329570770264,0.6556837006626333,43
206,20.0,0.01,32.920329570770264,0.5450662633246903,43
207,20.0,0.01,32.920329570770264,0.6833585422068568,43
208,20.0,0.01,32.920329570770264,0.5299490420628061,43
209,20.0,0.01,32.920329570770264,0.6922395683280514,43
210,20.0,0.001,32.920329570770264,0.6470475607413809,43
211,20.0,0.001,32.920329570770264,0.669403029866513,43
212,20.0,0.001,32.920329570770264,0.6303403798136944,43
213,20.0,0.001,32.920329570770264,0.5716859334485739,43
214,20.0,0.0001,32.920329570770264,0.6151205224238931,43
215,20.0,0.0001,32.920329570770264,0.6070716892346106,43
216,20.0,0.0001,32.920329570770264,0.7117641409776241,43
